# snapshot of the 'entries' sheet tab -- do not edit by hand
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume,in_website,pub_authors,pub_title,pub_venue,pub_year,pub_doi
publications,"Kaneva, K., Merkurjev, D., Ostrow, D., Ryutov, A., Triska, P., Stachelek, K., Cobrinik, D., Biegel, J. A. & Gai, X. Detection of mitochondrial DNA variants at low level heteroplasmy in pediatric CNS and extra-CNS solid tumors with three different enrichment methods. Mitochondrion 51, 97–103 (2020).",10.1016/j.mito.2020.01.006,NA,2020,NA,NA,NA,NA,TRUE,TRUE,"Kaneva K, Merkurjev D, Ostrow D, Ryutov A, Triska P, Stachelek K, Cobrinik D, Biegel JA, Gai X",Detection of mitochondrial DNA variants at low level heteroplasmy in pediatric CNS and extra-CNS solid tumors with three different enrichment methods,Mitochondrion,2020,10.1016/j.mito.2020.01.006
publications,"Berry, J. L., Xu, L., Kooi, I., Murphree, A. L., Prabakar, R. K., Reid, M., Stachelek, K., Le, B. H. A., Welter, L., Reiser, B. J., Chévez-Barrios, P., Jubran, R., Lee, T. C., Kim, J. W., Kuhn, P., Cobrinik, D. & Hicks, J. Genomic cfDNA analysis of aqueous humor in retinoblastoma predicts eye salvage: the surrogate tumor biopsy for retinoblastoma. Molecular Cancer Research 16, 1701–1712 (2018).",10.1158/1541-7786.MCR-18-0369,NA,2018,NA,NA,NA,NA,TRUE,TRUE,"Berry JL, Xu L, Kooi I, Murphree AL, Prabakar RK, Reid M, Stachelek K, Le BHA, Welter L, Reiser BJ, Chévez-Barrios P, Jubran R, Lee TC, Kim JW, Kuhn P, Cobrinik D, Hicks J",Genomic cfDNA Analysis of Aqueous Humor in Retinoblastoma Predicts Eye Salvage: The Surrogate Tumor Biopsy for Retinoblastoma,Molecular Cancer Research,2018,10.1158/1541-7786.MCR-18-0369
publications,"Singh, H. P., Wang, S., Stachelek, K., Lee, S., Reid, M. W., Thornton, M. E., Craft, C. M., Grubbs, B. H. & Cobrinik, D. Developmental stage-specific proliferation and retinoblastoma genesis in RB-deficient human but not mouse cone precursors. PNAS 115, E9391–E9400 (2018).",10.1073/pnas.1808903115,NA,2018,NA,NA,NA,NA,TRUE,TRUE,"Singh HP, Wang S, Stachelek K, Lee S, Reid MW, Thornton ME, Craft CM, Grubbs BH, Cobrinik D",Developmental stage-specific proliferation and retinoblastoma genesis in RB-deficient human but not mouse cone precursors,Proceedings of the National Academy of Sciences,2018,10.1073/pnas.1808903115
publications,"Kim, J. W., Jacobsen, B., Zolfaghari, E., Ferrario, A., Chevez-Barrios, P., Berry, J. L., Lee, D. K., Rico, G., Madi, I., Rao, N., Stachelek, K., Wang, L.-C. & Gomer, C. Rabbit model of ocular indirect photodynamic therapy using a retinoblastoma xenograft. Graefe’s Archive for Clinical and Experimental Ophthalmology 255, (2017).",10.1007/s00417-017-3805-8,NA,2017,NA,NA,NA,NA,TRUE,TRUE,"Kim JW, Jacobsen B, Zolfaghari E, Ferrario A, Chevez-Barrios P, Berry JL, Lee DK, Rico G, Madi I, Rao N, Stachelek K, Wang Lc, Gomer C",Rabbit model of ocular indirect photodynamic therapy using a retinoblastoma xenograft,Graefe's Archive for Clinical and Experimental Ophthalmology,2017,10.1007/s00417-017-3805-8
publications,"Berry, J. L., Xu, L., Murphree, A. L., Krishnan, S., Stachelek, K., Zolfaghari, E., McGovern, K., Lee, T. C., Carlsson, A., Kuhn, P., Kim, J. W., Cobrinik, D. & Hicks, J. Potential of aqueous humor as a surrogate tumor biopsy for retinoblastoma. JAMA Ophthalmology 135, 1221–1230 (2017).",10.1001/jamaophthalmol.2017.4097,NA,2017,NA,NA,NA,NA,TRUE,TRUE,"Berry JL, Xu L, Murphree AL, Krishnan S, Stachelek K, Zolfaghari E, McGovern K, Lee TC, Carlsson A, Kuhn P, Kim JW, Cobrinik D, Hicks J",Potential of Aqueous Humor as a Surrogate Tumor Biopsy for Retinoblastoma,JAMA Ophthalmology,2017,10.1001/jamaophthalmol.2017.4097
publications,"Shayler DWH, Stachelek K, Cambier L, Lee S, Bai J, Bhat B, et al. Identification and characterization of early human photoreceptor states and cell-state-specific retinoblastoma-related features.",10.7554/eLife.101918,NA,2025,NA,NA,NA,NA,TRUE,TRUE,"Shayler DW, Stachelek K, Cambier L, Lee S, Bai J, Bhat B, Reid MW, Weisenberger DJ, Aparicio JG, Kim Y, Singh M, Bay M, Thornton ME, Doyle EK, Fouladian Z, Erberich SG, Grubbs BH, Bonaguidi MA, Craft CM, Singh HP, Cobrinik D",Identification and characterization of early human photoreceptor states and cell-state-specific retinoblastoma-related features,eLife,2025,10.7554/eLife.101918
publications,"Stachelek, K., Bhat, B. & Cobrinik, D. Chevreul: an R bioconductor package for exploratory analysis of full-length single cell sequencing. Gigabyte (2025) doi:10.46471/gigabyte.158.",10.46471/gigabyte.158,NA,2025,NA,NA,NA,NA,TRUE,TRUE,"Stachelek K, Bhat B, Cobrinik D",Chevreul: an R bioconductor package for exploratory analysis of full-length single cell sequencing,Gigabyte,2025,10.46471/gigabyte.158
other publications,Moving the retinoblastoma aqueous humor liquid biopsy beyond genomics,https://cancercommunity.nature.com/posts/moving-the-retinoblastoma-aqueous-humor-liquid-biopsy-beyond-genomics?channel_id=behind-the-paper,NA,2022,NA,"""Behind the Paper"" blog post to Nature Communities",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
presentations,Children's Blood Disease Institute Annual Retreat 2022,cbdi_2022.pdf,cbdi_2022.png,2022,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
presentations,Biochemistry and Molecular Medicine Annual Retreat 2022,bmm_2022.pdf,bmm_2022.png,2022,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
presentations,The Saban Research Institute Science Day 2022,tsri_2022.pdf,tsri_2022.png,2022,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
presentations,Keystone Symposium 2019,keystone_2019.pdf,keystone_2019.png,2019,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
teaching,Introduction to R: Workshop for incoming PhD students - University of Southern California,NA,NA,2022,NA,"Led, organized, and co-designed 3-day workshop",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
teaching,Introduction to R: Workshop for incoming PhD students - University of Southern California,NA,NA,2021,NA,"Led, organized, and co-designed 3-day workshop",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
honors,Undergraduate SOAR,NA,NA,2013,2013,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
service,Babu Review,NA,NA,2022,2022,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
grants,NIH-NIDCD F31 DC019853-01: Ruth L. Kirschstein National Research Service Award,NA,NA,2022,2024,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA
grants,St. Baldrick's,NA,NA,2019,2020,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
software,SeuratTools,https://github.com/cobriniklab/seuratTools,NA,2022,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
software,Chevreul,https://github.com/cobriniklab/chevreulShiny,NA,2024,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
